ID,date,Country,Region,District,Latitude,Longitude,Species,Sequencing_date
Z00861820,01/04/2022,Kenya,Rarieda,West Uyoma,-0.2553002,34.3097779,Domestic dog,14-Sep-22
Z08151377,18/08/2017,Kenya,Siaya,Rarieda,-0.358002251,34.32245196,Domestic dog,07-Aug-19
Z00861808,03/06/2022,Kenya,Ugunja,Ugunja,0.1992256,34.3392067,Domestic dog,14-Sep-22
Z00861807,09/06/2022,Kenya,Rarieda,North Uyoma,-0.2436026,34.3405267,Domestic dog,14-Sep-22
SD793,11/03/2021,NTz,Mara,Serengeti ,-1.79567,34.344089,Domestic Dog,21-Apr-21
SD716,18/05/2018,NTz,Mara,Serengeti ,-1.630177,34.3521,Domestic dog,14-Nov-21
Z00865561,28/06/2022,Kenya,Rarieda,West Asembo,-0.1394914,34.355399,Domestic dog,14-Sep-22
Z00865566,14/07/2022,Kenya,Rarieda,West Asembo,-0.1393568,34.3556882,Domestic dog,14-Sep-22
SD802,23/07/2021,NTz,Mara,Serengeti ,-1.742939,34.35651,Domestic dog,14-Nov-21
SD740,15/02/2019,NTz,Mara ,Serengeti ,-1.6332469,34.3571239,Domestic Dog,06-Sep-19
SD813,07/12/2021,NTz,Mara,Serengeti ,-1.724149,34.359319,Domestic Dog,10-Mar-22
Z00865564,13/07/2022,Kenya,Rarieda,West Asembo,-0.1400055,34.3601107,Domestic dog,14-Sep-22
Z00861809,28/05/2022,Kenya,Ugunja,Sigomre,0.2023327,34.3630015,Bovine,14-Sep-22
Z00865571,23/07/2022,Kenya,Rarieda,East Asembo,-0.0726057,34.3791578,Domestic dog,14-Sep-22
Z00865563,12/07/2022,Kenya,Rarieda,East Asembo,-0.1825339,34.3808759,Domestic dog,14-Sep-22
Z00861827,03/03/2022,Kenya,Rarieda,East Asembo,-0.081198,34.3879835,Domestic dog,14-Sep-22
SD809,30/10/2021,NTz,Mara,Tarime,-1.21343,34.389903,Domestic dog,14-Nov-21
SD789,16/12/2020,NTz,Mara,Serengeti ,-1.594604,34.400336,Domestic Dog,21-Apr-21
SD823,09/04/2022,NTz,Mara,Serengeti ,-1.808071,34.402064,Domestic Dog,23-Nov-22
Z00865562,29/06/2022,Kenya,Gem,South Gem,-0.0656039,34.405968,Domestic dog,14-Sep-22
SD837,20/06/2022,NTz,Mara,Serengeti ,-1.719235,34.411862,Domestic Dog,23-Nov-22
Z08151242,18/08/2017,Kenya,Siaya,Rarieda,-0.15795,34.41227,Bovine,07-Aug-19
Z0826475,21/09/2017,Kenya,Siaya,Rarieda,-0.157945443,34.41227149,Domestic dog,07-Aug-19
Z0826363,16/11/2017,Kenya,Siaya,Rarieda,-0.157945443,34.41227149,Domestic dog,07-Aug-19
Z0826362,22/08/2019,Kenya,Siaya,Rarieda,-0.157945443,34.41227149,Domestic dog,07-Aug-19
Z00861864,21/09/2021,Kenya,Siaya,Rarieda,-0.157945443,34.41227149,Domestic dog,08-Dec-21
Z00861863,26/09/2021,Kenya,Siaya,Rarieda,-0.157945443,34.41227149,Domestic dog,08-Dec-21
Z00861859,14/10/2021,Kenya,Siaya,Rarieda,-0.157945443,34.41227149,Domestic dog,08-Dec-21
Z00861846,23/11/2021,Kenya,Siaya,Rarieda,-0.157945443,34.41227149,Ovine,31-Jan-22
Z00861845,25/11/2021,Kenya,Siaya,Rarieda,-0.157945443,34.41227149,Bovine,31-Jan-22
Z00861844,02/12/2021,Kenya,Siaya,Rarieda,-0.157945443,34.41227149,Bovine,31-Jan-22
Z00861806,16/06/2022,Kenya,Gem,South Gem,-0.0475245,34.4200927,Domestic dog,14-Sep-22
SD747,19/06/2019,NTz,Mara ,Serengeti ,-1.52823146,34.44576024,Domestic Dog,06-Sep-19
Z00865560,25/06/2022,Kenya,Gem,North Gem,0.1134189,34.451805,Domestic dog,14-Sep-22
Z0826253,27/02/2018,Kenya,Siaya,Gem,0.077195474,34.47023396,Human,07-Aug-19
SD746,24/06/2019,NTz,Mara ,Serengeti ,-1.524610645,34.48028966,Domestic dog,06-Sep-19
SD749,24/06/2019,NTz,Mara ,Serengeti ,-1.524610645,34.48028966,Domestic dog,06-Sep-19
SD751,2019-06-31,NTz,Mara ,Serengeti ,-1.524610645,34.48028966,Domestic dog,13-Nov-19
SD743,22/03/2019,NTz,Mara ,Serengeti ,-1.730158674,34.4964275,Domestic dog,06-Sep-19
SD761,02/07/2020,NTz,Mara,Serengeti ,-1.727248,34.503758,Domestic dog,14-Nov-21
SD735,23/09/2020,NTz,Mara,Serengeti ,-1.819467,34.503827,Domestic dog,14-Nov-21
SD825,29/04/2022,NTz,Mara,Serengeti ,-1.87692,34.506532,Domestic Dog,23-Nov-22
SD812,21/12/2021,NTz,Mara,Serengeti ,-1.878369,34.515877,Domestic dog,10-Mar-22
SD817,26/01/2022,NTz,Mara,Serengeti ,-1.918005,34.520713,Domestic Dog,10-Mar-22
SD759,19/11/2019,NTz,Mara,Serengeti ,-1.737298,34.575145,Domestic Dog,14-Nov-21
SD753,20/11/2019,NTz,Mara ,Serengeti ,-1.737298421,34.57514548,Domestic dog,14-Apr-21
SD827,06/05/2022,NTz,Mara,Serengeti ,-1.826998,34.615236,Domestic Dog,23-Nov-22
SD804,26/10/2021,NTz,Mara,Serengeti ,-1.82378,34.622,Domestic dog,14-Nov-21
SD792,04/03/2021,NTz,Mara,Serengeti ,-1.856904,34.639337,Domestic Dog,21-Apr-21
SD828,15/05/2022,NTz,Mara,Serengeti ,-1.899696,34.647253,Cow,23-Nov-22
SD835,28/05/2022,NTz,Mara,Serengeti ,-1.899532,34.647361,Cow,23-Nov-22
SD826,30/04/2022,NTz,Mara,Serengeti ,-1.906932,34.647894,Domestic Dog,23-Nov-22
SD744,27/03/2019,NTz,Mara ,Serengeti ,-1.840844136,34.66041726,Domestic dog,06-Sep-19
SD745,27/03/2019,NTz,Mara ,Serengeti ,-1.840844136,34.66041726,Domestic dog,06-Sep-19
SD755,14/04/2021,NTz,Mara,Serengeti ,-1.840844136,34.66041726,Domestic Dog,14-Apr-21
SD756,14/04/2021,NTz,Mara,Serengeti ,-1.840844136,34.66041726,Domestic dog,14-Apr-21
SD785,14/04/2021,NTz,Mara,Serengeti ,-1.840844136,34.66041726,Cat,14-Apr-21
SD736,01/06/2020,NTz,Mara,Serengeti ,-1.840833,34.66404,Domestic Dog,14-Nov-21
SD763,02/07/2020,NTz,Mara,Serengeti ,-1.840833,34.66404,Domestic dog,14-Nov-21
SD790,13/01/2021,NTz,Mara,Serengeti ,-1.832079,34.666014,Jackal,21-Apr-21
SD738,24/12/2018,NTz,Mara ,Serengeti ,-1.835733354,34.6816182,Domestic dog,06-Sep-19
SD750,19/11/2019,NTz,Mara,Serengeti ,-1.842388,34.682603,Cat,07-Aug-19
SD737,30/05/2020,NTz,Mara,Serengeti ,-1.824592,34.721631,Domestic dog,14-Nov-21
SD818,31/01/2022,NTz,Mara,Serengeti ,-1.885636,34.777171,Domestic Dog,10-Mar-22
SD799,21/06/2021,NTz,Mara,Serengeti ,-1.770879,34.779912,Jackal,21-Apr-21
SD760,02/07/2020,NTz,Mara,Serengeti ,-1.770711,34.787083,Domestic dog,14-Nov-21
2011100186,12/09/2017,Kenya,Kisumu,Kisumu East ,-0.025538055,34.79142003,Domestic dog,07-Aug-19
SD807,28/10/2021,NTz,Mara,Serengeti ,-1.871526,34.798132,Honey badger,14-Nov-21
SD754,06/01/2020,NTz,Mara,Serengeti ,-1.86736,34.798751,Domestic Dog,14-Apr-21
SD815,21/12/2021,NTz,Mara,Serengeti ,-1.798441,34.800663,Domestic Dog,10-Mar-22
SD741,30/01/2019,NTz,Mara ,Serengeti ,-1.7861379,34.8026443,Domestic dog,06-Sep-19
SD712,18/05/2018,NTz,Mara,Serengeti ,-1.864792,34.802878,Domestic dog,14-Nov-21
SD801,18/07/2021,NTz,Mara,Serengeti ,-1.814434,34.805558,Domestic dog,14-Nov-21
SD791,30/11/2020,NTz,Mara,Serengeti ,-1.806927,34.805666,Jackal,21-Apr-21
SD846,03/10/2022,NTz,Arusha,Ngorongoro,-3.060711,35.830041,Human,23-Nov-22
MR008,13/11/2018,NTz,Morogoro ,Ulanga,-8.87886,36.0876,Goat,13-Nov-19
MR009,09/02/2019,NTz,Morogoro ,Ulanga,-8.87886,36.0876,Domestic Dog,13-Nov-19
RB002,01/09/2019,NTz,Morogoro/Kennedy,Ulanga,-8.87886,36.0876,Domestic dog,13-Nov-19
RB003,01/09/2019,NTz,Morogoro/Kennedy,Ulanga,-8.87886,36.0876,Bovine,13-Nov-19
MR005,13/02/2020,NTz,Morogoro ,Ulanga,-8.87886,36.0876,Domestic dog,10-Mar-22
MR001,31/03/2020,NTz,Morogoro ,Ulanga,-8.87886,36.0876,Domestic dog,10-Mar-22
MR006,08/05/2020,NTz,Morogoro ,Ulanga,-8.87886,36.0876,Domestic dog,10-Mar-22
NAC1015,14/08/2022,NTz,Lindi,Nachingwea,-10.33562,36.559167,Domestic Dog,23-Nov-22
KD1004,11/02/2022,NTz,Morogoro ,Kilombero,-8.400762,36.559167,Domestic Dog,23-Nov-22
IFA1023,23/07/2022,NTz,Morogoro ,Ifakara,-8.400762,36.559167,Domestic Dog,23-Nov-22
KIL1022,10/08/2022,NTz,Morogoro ,Kilombero,-8.400762,36.559167,Domestic Dog,23-Nov-22
IFA1021,11/08/2022,NTz,Morogoro ,Ifakara,-8.400762,36.559167,Domestic Dog,23-Nov-22
IFA1013,08/09/2022,NTz,Morogoro ,Ifakara,-8.400762,36.559167,Domestic Dog,23-Nov-22
MAL1020,17/04/2022,NTz,Mtwara,Malinyi,-9.053893,36.614229,Domestic Dog,23-Nov-22
MAL1009,09/05/2022,NTz,Morogoro ,Malinyi,-9.053893,36.614229,Domestic dog,23-Nov-22
MAL1008,23/07/2022,NTz,Morogoro ,Malinyi,-9.053893,36.614229,Domestic Dog,23-Nov-22
